query_id,CR,RelCR_single,RelCR_mean,RelCR_union,UIR,HMC,Jaccard,SIR
narrowing_queries_100_0071,0.51,1.312,1.311,0.975,0.54,8.9,0.533,0.025
narrowing_queries_100_0072,0.351,0.961,0.96,0.958,0.351,19.46,0.351,0.0
narrowing_queries_100_0073,0.495,1.103,1.101,0.934,0.499,16.8,0.497,0.005
narrowing_queries_100_0074,0.65,1.014,1.013,1.011,0.66,4.68,0.642,0.024
narrowing_queries_100_0075,0.435,0.766,0.761,0.746,0.448,6.44,0.443,0.015
narrowing_queries_100_0076,,,,,,0.0,,
narrowing_queries_100_0077,0.218,0.897,0.891,0.873,0.218,18.76,0.218,0.0
narrowing_queries_100_0078,0.359,0.897,0.897,0.897,0.359,9.62,0.359,0.0
narrowing_queries_100_0079,0.601,1.002,1.002,1.002,0.601,5.98,0.601,0.0
narrowing_queries_100_0080,0.495,1.237,1.237,1.237,0.488,7.26,0.475,0.062
narrowing_queries_100_0081,0.458,0.757,0.757,0.753,0.463,11.66,0.451,0.048
narrowing_queries_100_0082,0.427,0.762,0.761,0.74,0.426,14.22,0.419,0.048
narrowing_queries_100_0083,0.206,0.881,0.88,0.669,0.206,41.2,0.206,0.002
narrowing_queries_100_0084,0.247,1.4,1.4,1.4,0.247,12.78,0.246,0.004
narrowing_queries_100_0085,0.203,1.38,1.38,1.38,0.233,19.38,0.224,0.144
narrowing_queries_100_0086,0.185,1.358,1.332,1.182,0.186,41.0,0.186,0.01
narrowing_queries_100_0087,0.733,0.939,0.938,0.825,0.732,2.4,0.729,0.006
narrowing_queries_100_0088,0.445,1.222,1.215,1.075,0.458,14.92,0.453,0.022
narrowing_queries_100_0089,0.459,0.871,0.87,0.793,0.459,10.28,0.459,0.0
narrowing_queries_100_0090,0.647,0.888,0.888,0.783,0.647,8.12,0.647,0.0
narrowing_queries_100_0091,0.268,1.414,1.414,1.414,0.358,17.14,0.352,0.043
narrowing_queries_100_0092,0.636,1.363,1.363,1.363,0.647,5.1,0.63,0.032
narrowing_queries_100_0093,0.254,0.666,0.666,0.666,0.254,31.32,0.254,0.0
narrowing_queries_100_0094,0.36,0.931,0.927,0.706,0.361,32.34,0.361,0.004
narrowing_queries_100_0095,0.347,1.1,1.1,1.1,0.347,12.4,0.347,0.0
narrowing_queries_100_0096,0.593,1.087,1.086,1.078,0.606,7.64,0.6,0.012
narrowing_queries_100_0097,0.593,0.938,0.922,0.712,0.599,2.4,0.599,0.0
narrowing_queries_100_0098,0.64,0.802,0.801,0.8,0.654,5.04,0.645,0.015
narrowing_queries_100_0099,0.59,0.966,0.964,0.908,0.596,7.86,0.585,0.025
narrowing_queries_100_0100,0.588,0.98,0.98,0.98,0.599,5.5,0.578,0.063
